Date,Product 1,UID,Product 2,Product 3,Product 4,Product 5
7/1/2022,TRUE,48201,TRUE,FALSE,FALSE,TRUE
7/1/2022,TRUE,229378,FALSE,FALSE,FALSE,FALSE
7/1/2022,TRUE,558869,TRUE,TRUE,TRUE,TRUE
7/1/2022,FALSE,521775,TRUE,TRUE,TRUE,TRUE
7/1/2022,FALSE,578996,FALSE,FALSE,FALSE,TRUE
7/1/2022,FALSE,234442,FALSE,FALSE,FALSE,TRUE
7/1/2022,TRUE,238938,FALSE,FALSE,TRUE,FALSE
7/1/2022,TRUE,65504,TRUE,TRUE,FALSE,FALSE
7/1/2022,TRUE,167912,TRUE,TRUE,FALSE,FALSE
7/1/2022,FALSE,221243,FALSE,FALSE,TRUE,FALSE
